Flight No.,Date and time (UTC),"Version, booster[i]",Launch site,Payload[j],Payload mass,Orbit,Customer,Launch outcome,Booster landing
291,"January 18, 2024 21:49[35]",F9 B5 B1080‑5,"Kennedy, LC‑39A",Ax-3 (Crew Dragon C212-3 Freedom),"~13,000 kg (29,000 lb)",LEO (ISS),Axiom Space,Success,Success (LZ‑1)
291,"Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı.","Axiom contracted for three additional private crewed missions in June 2021.[36][37][38] The crew consisted of American Michael López-Alegría, Italian astronaut Walter Villadei, ESA Swedish Project astronaut Marcus Wandt and Turkish astronaut Alper Gezeravcı."
292,"January 24, 2024 00:35[39]",F9 B5 B1063‑16,"Vandenberg, SLC‑4E",Starlink: Group 7-11 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
292,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.
293,"January 29, 2024 01:10[40]",F9 B5 B1062‑18,"Kennedy, LC‑39A",Starlink: Group 6-38 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
293,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.
294,"January 29, 2024 05:57[41]",F9 B5 B1075‑9,"Vandenberg, SLC‑4E",Starlink: Group 7-12 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
294,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days."
295,"January 30, 2024 17:07[42]",F9 B5 B1077‑10,"Cape Canaveral, SLC‑40",CRS NG-20,"3,726 kg (8,214 lb)",LEO (ISS),Northrop Grumman (CRS),Success,Success (LZ‑1)
295,"First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired three flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[43] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[44] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson."
296,"February 8, 2024 06:33[45]",F9 B5 B1081‑4,"Cape Canaveral, SLC‑40",PACE,"1,694 kg (3,735 lb)",SSO,NASA (LSP),Success,Success (LZ‑1)
296,"This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[46]"
297,"February 10, 2024 00:34[47]",F9 B5 B1071‑14,"Vandenberg, SLC‑4E",Starlink: Group 7-13 (22 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
297,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.
298,"February 14, 2024 22:30[48]",F9 B5 B1078‑7,"Cape Canaveral, SLC‑40",USSF-124 (6 satellites),Unknown,LEO,USSF / SDA,Success,Success (LZ‑2)
298,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[49] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.
299,"February 15, 2024 06:05[50]",F9 B5 B1060‑18,"Kennedy, LC‑39A",IM-1 Nova-C Odysseus lander,"1,931 kg (4,257 lb)",TLI,NASA (CLPS) / Intuitive Machines,Success,Success (LZ‑1)
