flight_name,flight_number,date_utc,payload_mass_kg,orbit,launch_site,landing_type,landpad_name,landing_success,year,month
CRS-17,78,2019-05-04T06:48:00.000Z,2482.0,ISS,CCSFS SLC 40,ASDS,OCISLY,1,2019,5
Starlink v0.9,79,2019-05-24T02:30:00.000Z,13200.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,1,2019,5
RADARSAT Constellation,80,2019-06-12T14:17:00.000Z,1425.0,SSO,VAFB SLC 4E,RTLS,LZ-4,1,2019,6
CRS-18,82,2019-07-25T22:01:00.000Z,2227.7,ISS,CCSFS SLC 40,RTLS,LZ-1,1,2019,7
Starlink-1,84,2019-11-11T14:56:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,1,2019,11
CRS-19,85,2019-12-05T17:29:23.000Z,5000.0,ISS,CCSFS SLC 40,ASDS,OCISLY,1,2019,12
JCSat 18 / Kacific 1,86,2019-12-17T00:10:00.000Z,6800.0,GTO,CCSFS SLC 40,ASDS,OCISLY,1,2019,12
Starlink-2,87,2020-01-07T02:19:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,1,2020,1
Starlink-3,89,2020-01-29T14:06:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,1,2020,1
Starlink-4,90,2020-02-17T15:05:55.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,0,2020,2
CRS-20,91,2020-03-07T04:50:31.000Z,1977.0,ISS,CCSFS SLC 40,RTLS,LZ-1,1,2020,3
Starlink-5,92,2020-03-18T12:16:00.000Z,15600.0,VLEO,KSC LC 39A,ASDS,OCISLY,0,2020,3
Starlink-6,93,2020-04-22T19:30:00.000Z,15600.0,VLEO,KSC LC 39A,ASDS,OCISLY,1,2020,4
CCtCap Demo Mission 2,94,2020-05-30T19:22:00.000Z,9525.0,ISS,KSC LC 39A,ASDS,OCISLY,1,2020,5
Starlink-7,95,2020-06-04T01:25:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2020,6
Starlink-8 & SkySat 16-18,96,2020-06-13T09:21:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,1,2020,6
GPS III SV03 (Columbus),97,2020-06-30T19:55:00.000Z,3880.0,MEO,CCSFS SLC 40,ASDS,JRTI,1,2020,6
ANASIS-II,98,2020-07-20T21:30:00.000Z,,GEO,CCSFS SLC 40,ASDS,JRTI,1,2020,7
Starlink-9 (v1.0) & BlackSky Global 5-6,99,2020-08-07T05:12:00.000Z,15712.0,SSO;VLEO,KSC LC 39A,ASDS,OCISLY,1,2020,8
Starlink-10 (v1.0) & SkySat 19-21,100,2020-08-18T14:31:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,1,2020,8
"SAOCOM 1B, GNOMES-1, Tyvak-0172",101,2020-08-30T23:18:00.000Z,1600.0,SSO,CCSFS SLC 40,RTLS,LZ-1,1,2020,8
Starlink-11 (v1.0),102,2020-09-03T12:46:00.000Z,15600.0,VLEO,KSC LC 39A,ASDS,OCISLY,1,2020,9
Starlink-12 (v1.0),103,2020-10-06T11:29:00.000Z,15600.0,VLEO,KSC LC 39A,ASDS,OCISLY,1,2020,10
Starlink-13 (v1.0),104,2020-10-18T12:25:00.000Z,15600.0,VLEO,KSC LC 39A,ASDS,OCISLY,1,2020,10
Starlink-14 (v1.0),105,2020-10-24T15:31:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2020,10
GPS III SV04 (Sacagawea),106,2020-11-05T23:24:00.000Z,3681.0,MEO,CCSFS SLC 40,ASDS,OCISLY,1,2020,11
Crew-1,107,2020-11-16T00:27:00.000Z,,ISS,KSC LC 39A,ASDS,JRTI,1,2020,11
Sentinel-6 Michael Freilich,108,2020-11-21T17:17:00.000Z,1440.0,PO,VAFB SLC 4E,RTLS,LZ-4,1,2020,11
Starlink-15 (v1.0),109,2020-11-25T02:13:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,1,2020,11
CRS-21,110,2020-12-06T16:17:00.000Z,2972.0,ISS,KSC LC 39A,ASDS,OCISLY,1,2020,12
SXM-7,111,2020-12-13T17:30:00.000Z,7000.0,GTO,CCSFS SLC 40,ASDS,JRTI,1,2020,12
NROL-108,112,2020-12-19T14:00:00.000Z,,,KSC LC 39A,RTLS,LZ-1,1,2020,12
Turksat 5A,113,2021-01-08T02:15:00.000Z,3500.0,GTO,CCSFS SLC 40,ASDS,JRTI,1,2021,1
Starlink-16 (v1.0),114,2021-01-20T13:02:00.000Z,15600.0,VLEO,KSC LC 39A,ASDS,JRTI,1,2021,1
Transporter-1,115,2021-01-24T15:00:00.000Z,,SSO,CCSFS SLC 40,ASDS,OCISLY,1,2021,1
Starlink-18 (v1.0),116,2021-02-04T06:19:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,1,2021,2
Starlink-19 (v1.0),117,2021-02-16T03:59:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,0,2021,2
Starlink-17 (v1.0),118,2021-03-04T08:24:00.000Z,15600.0,VLEO,KSC LC 39A,ASDS,OCISLY,1,2021,3
Starlink-20 (v1.0),119,2021-03-11T08:13:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2021,3
Starlink-21 (v1.0),120,2021-03-14T10:01:00.000Z,15600.0,VLEO,KSC LC 39A,ASDS,OCISLY,1,2021,3
Starlink-22 (v1.0),121,2021-03-24T08:28:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,1,2021,3
Starlink-23 (v1.0),122,2021-04-07T16:34:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,1,2021,4
Crew-2,123,2021-04-23T09:49:00.000Z,,ISS,KSC LC 39A,ASDS,OCISLY,1,2021,4
Starlink-24 (v1.0),124,2021-04-29T03:44:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2021,4
Starlink-25 (v1.0),125,2021-05-04T19:01:00.000Z,15600.0,VLEO,KSC LC 39A,ASDS,OCISLY,1,2021,5
Starlink-27 (v1.0),126,2021-05-09T06:42:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,OCISLY,1,2021,5
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,127,2021-05-15T22:54:00.000Z,13632.0,LEO;VLEO,KSC LC 39A,ASDS,OCISLY,1,2021,5
Starlink-28 (v1.0),128,2021-05-26T18:59:00.000Z,15600.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2021,5
CRS-22 & IROSA,129,2021-06-03T17:29:00.000Z,3328.0,ISS,KSC LC 39A,ASDS,OCISLY,1,2021,6
SXM-8,130,2021-06-06T04:26:00.000Z,7000.0,GTO,CCSFS SLC 40,ASDS,JRTI,1,2021,6
GPS III SV05,131,2021-06-17T16:09:00.000Z,3681.0,MEO,CCSFS SLC 40,ASDS,JRTI,1,2021,6
Transporter-2,132,2021-06-30T19:31:00.000Z,,SSO,CCSFS SLC 40,RTLS,LZ-1,1,2021,6
CRS-23,133,2021-08-29T07:14:00.000Z,,ISS,KSC LC 39A,ASDS,ASOG,1,2021,8
Starlink 2-1 (v1.5),134,2021-09-14T03:55:00.000Z,15600.0,PO,VAFB SLC 4E,ASDS,OCISLY,1,2021,9
Inspiration4,135,2021-09-16T00:02:00.000Z,,LEO,KSC LC 39A,ASDS,JRTI,1,2021,9
Crew-3,136,2021-11-11T02:03:00.000Z,12519.0,ISS,KSC LC 39A,ASDS,ASOG,1,2021,11
Starlink 4-1 (v1.5),137,2021-11-13T12:40:00.000Z,13260.0,LEO,CCSFS SLC 40,ASDS,JRTI,1,2021,11
DART,138,2021-11-24T06:20:00.000Z,670.0,TLI,VAFB SLC 4E,ASDS,OCISLY,1,2021,11
Starlink 4-3 (v1.5),139,2021-12-01T23:20:00.000Z,13260.0,PO,CCSFS SLC 40,ASDS,ASOG,1,2021,12
IXPE,140,2021-12-09T06:00:00.000Z,330.0,LEO,KSC LC 39A,ASDS,JRTI,1,2021,12
Starlink 4-4 (v1.5),141,2021-12-18T12:41:40.000Z,13260.0,PO,VAFB SLC 4E,ASDS,OCISLY,1,2021,12
Türksat 5B,142,2021-12-19T03:58:00.000Z,3500.0,GTO,CCSFS SLC 40,ASDS,ASOG,1,2021,12
CRS-24,143,2021-12-21T10:06:00.000Z,,ISS,KSC LC 39A,ASDS,JRTI,1,2021,12
Starlink 4-5 (v1.5),144,2022-01-06T21:49:00.000Z,13260.0,VLEO,KSC LC 39A,ASDS,ASOG,1,2022,1
Transporter-3,145,2022-01-13T15:25:00.000Z,,LEO,CCSFS SLC 40,RTLS,LZ-1,1,2022,1
Starlink 4-6 (v1.5),146,2022-01-19T00:04:00.000Z,13260.0,VLEO,KSC LC 39A,ASDS,ASOG,1,2022,1
CSG-2,147,2022-01-31T23:11:12.000Z,2240.0,SSO,CCSFS SLC 40,RTLS,LZ-1,1,2022,1
NROL-87,148,2022-02-02T20:18:00.000Z,,LEO,VAFB SLC 4E,RTLS,LZ-4,1,2022,2
Starlink 4-7 (v1.5),149,2022-02-03T18:13:00.000Z,13260.0,VLEO,KSC LC 39A,ASDS,ASOG,1,2022,2
Starlink 4-8 (v1.5),150,2022-02-21T14:44:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,ASOG,1,2022,2
Starlink 4-11 (v1.5),151,2022-02-25T17:12:00.000Z,13260.0,VLEO,VAFB SLC 4E,ASDS,OCISLY,1,2022,2
Starlink 4-9 (v1.5),152,2022-03-03T14:35:00.000Z,13260.0,VLEO,KSC LC 39A,ASDS,JRTI,1,2022,3
Starlink 4-10 (v1.5),153,2022-03-09T13:45:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,ASOG,1,2022,3
Starlink 4-12 (v1.5),154,2022-03-19T03:24:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2022,3
Transporter-4,155,2022-04-01T16:24:00.000Z,,SSO,CCSFS SLC 40,ASDS,JRTI,1,2022,4
Ax-1,156,2022-04-08T15:17:00.000Z,,ISS,KSC LC 39A,ASDS,ASOG,1,2022,4
NROL-85,157,2022-04-17T13:13:00.000Z,,LEO,VAFB SLC 4E,RTLS,LZ-4,1,2022,4
Starlink 4-14 (v1.5),158,2022-04-21T15:16:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2022,4
Crew-4,159,2022-04-27T07:52:00.000Z,,ISS,KSC LC 39A,ASDS,ASOG,1,2022,4
Starlink 4-16 (v1.5),160,2022-04-29T21:27:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2022,4
Starlink 4-17 (v1.5),161,2022-05-06T09:42:00.000Z,13260.0,VLEO,KSC LC 39A,ASDS,ASOG,1,2022,5
Starlink 4-13 (v1.5),162,2022-05-13T22:07:00.000Z,13260.0,VLEO,VAFB SLC 4E,ASDS,OCISLY,1,2022,5
Starlink 4-15 (v1.5),163,2022-05-14T20:40:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2022,5
Starlink 4-18 (v1.5),164,2022-05-18T10:40:00.000Z,13260.0,VLEO,KSC LC 39A,ASDS,ASOG,1,2022,5
Transporter-5,165,2022-05-25T18:27:00.000Z,,SSO,CCSFS SLC 40,RTLS,LZ-1,1,2022,5
Nilesat-301,166,2022-06-08T21:04:00.000Z,3938.0,GEO,CCSFS SLC 40,ASDS,JRTI,1,2022,6
Starlink 4-19 (v1.5),167,2022-06-01T17:08:50.000Z,13260.0,VLEO,KSC LC 39A,ASDS,ASOG,1,2022,6
SARah 1,168,2022-06-18T14:19:00.000Z,2200.0,SSO,VAFB SLC 4E,RTLS,LZ-4,1,2022,6
Globalstar FM15,169,2022-06-19T04:27:00.000Z,700.0,LEO,CCSFS SLC 40,ASDS,JRTI,1,2022,6
SES-22,170,2022-06-29T21:04:00.000Z,3500.0,MEO,CCSFS SLC 40,ASDS,ASOG,1,2022,6
Starlink 4-21 (v1.5),171,2022-07-07T13:11:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2022,7
Starlink 3-1 (v1.5),172,2022-07-11T01:39:00.000Z,13260.0,VLEO,VAFB SLC 4E,ASDS,OCISLY,1,2022,7
CRS-25,173,2022-07-15T00:44:00.000Z,,ISS,KSC LC 39A,ASDS,ASOG,1,2022,7
Starlink 4-22 (v1.5),174,2022-07-17T14:50:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2022,7
Starlink 3-2 (v1.5),175,2022-07-21T17:13:00.000Z,13260.0,VLEO,VAFB SLC 4E,ASDS,OCISLY,1,2022,7
Starlink 4-25 (v1.5),176,2022-07-24T00:00:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,ASOG,1,2022,7
KPLO,177,2022-08-04T23:08:00.000Z,678.0,TLI,CCSFS SLC 40,ASDS,JRTI,1,2022,8
Starlink 4-26 (v1.5),178,2022-08-09T22:57:00.000Z,13260.0,VLEO,KSC LC 39A,ASDS,ASOG,1,2022,8
Starlink 3-3 (v1.5),179,2022-08-12T21:30:00.000Z,13260.0,VLEO,VAFB SLC 4E,ASDS,OCISLY,1,2022,8
Starlink 4-27 (v1.5),180,2022-08-19T19:24:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,ASOG,1,2022,8
Starlink 4-23 (v1.5),181,2022-08-28T02:22:00.000Z,13260.0,VLEO,KSC LC 39A,ASDS,ASOG,1,2022,8
Starlink 3-4 (v1.5),182,2022-08-31T05:40:00.000Z,13260.0,VLEO,VAFB SLC 4E,ASDS,OCISLY,1,2022,8
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,183,2022-09-05T02:09:00.000Z,13440.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2022,9
Starlink 4-2 (v1.5) & Blue Walker 3,184,2022-09-11T01:10:00.000Z,14760.0,VLEO,KSC LC 39A,ASDS,ASOG,1,2022,9
Starlink 4-34 (v1.5),185,2022-09-17T01:05:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2022,9
Starlink 4-35 (v1.5),186,2022-09-24T23:30:00.000Z,13260.0,VLEO,CCSFS SLC 40,ASDS,JRTI,1,2022,9
Crew-5,187,2022-10-05T16:00:00.000Z,,ISS,KSC LC 39A,ASDS,JRTI,1,2022,10
